n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,gender,distance,model_id,task,features_n,training_rows,sample_size_too_small,skipped,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
1471,0.8626784500339905,0.8630066311869196,0.8626778788741455,0.8626727384355405,0.8630670553073121,0.8630066311869196,0.9403507539138057,athlete_group_holdout,advancement_label,male,500m,male_500m_advancement,advancement,55,5460,False,False,,,,,
2960,0.845945945945946,0.8470455141357301,0.845740585988286,0.8460980644331013,0.8456764757986014,0.8470455141357301,0.9323178233597547,time_external_season_ge_2023,advancement_label,male,500m,male_500m_advancement,advancement,55,5460,False,False,,,,,
1365,0.873992673992674,0.8742538371024402,0.8739871958367147,0.8739756308408008,0.8744564563532303,0.8742538371024402,0.9479962036949556,random_stratified_holdout,advancement_label,male,500m,male_500m_advancement,advancement,55,5460,False,False,,,,,
1644,0.5456204379562044,0.5507382368863453,0.5462692672107434,0.5415719429457456,0.543631783193715,0.5507382368863453,,athlete_group_holdout,grade_label,male,500m,male_500m_grade,grade,34,5838,False,False,,,,,
3109,0.5461563203602444,0.5428714891384026,0.5424387415992518,0.5462925079878105,0.5425847727100976,0.5428714891384026,,time_external_season_ge_2023,grade_label,male,500m,male_500m_grade,grade,34,5838,False,False,,,,,
1460,0.5363013698630137,0.5363013698630137,0.5371196330500578,0.5371196330500578,0.5391309682496259,0.5363013698630137,,random_stratified_holdout,grade_label,male,500m,male_500m_grade,grade,34,5838,False,False,,,,,
1644,0.3911192214111922,0.2775246973349141,0.2646894930494442,0.3776609722059864,0.2653152430702705,0.2775246973349141,,athlete_group_holdout,max_round_score,male,500m,male_500m_max_round,max_round,55,5838,False,False,,,,,
3109,0.3509166934705693,0.28534002708714373,0.2117877215753202,0.34207938425506906,0.24617935545438385,0.24457716607469462,,time_external_season_ge_2023,max_round_score,male,500m,male_500m_max_round,max_round,55,5838,False,False,,,,,
1460,0.41712328767123286,0.2949668084051959,0.2891210330423802,0.4024814569738477,0.29415002970093773,0.2949668084051959,,random_stratified_holdout,max_round_score,male,500m,male_500m_max_round,max_round,55,5838,False,False,,,,,
1644,0.7712895377128953,0.6976608604606891,0.6960364120589375,0.7722095025741907,0.694505803289181,0.6976608604606891,0.7990572847261882,athlete_group_holdout,final_entry_label,male,500m,male_500m_final_entry,final_entry,55,5838,False,False,,,,,
3109,0.7751688645866838,0.728515112339843,0.7013109961632901,0.7860134545815806,0.688043582484242,0.728515112339843,0.8282711512656784,time_external_season_ge_2023,final_entry_label,male,500m,male_500m_final_entry,final_entry,55,5838,False,False,,,,,
1460,0.7698630136986301,0.7005257748260594,0.699104969773102,0.7706625396186926,0.6977582846003898,0.7005257748260594,0.7933961891208097,random_stratified_holdout,final_entry_label,male,500m,male_500m_final_entry,final_entry,55,5838,False,False,,,,,
1644,1.0,1.0,1.0,1.0,1.0,1.0,,athlete_group_holdout,tactical_style_label,male,500m,male_500m_tactical_style,tactical_style,34,5838,False,False,,,,,
3109,1.0,1.0,1.0,1.0,1.0,1.0,,time_external_season_ge_2023,tactical_style_label,male,500m,male_500m_tactical_style,tactical_style,34,5838,False,False,,,,,
1460,1.0,1.0,1.0,1.0,1.0,1.0,,random_stratified_holdout,tactical_style_label,male,500m,male_500m_tactical_style,tactical_style,34,5838,False,False,,,,,
1644,0.8990267639902676,0.8921561254590908,0.8806771916590057,0.8999143260683128,0.8706737144386676,0.8921561254590908,,athlete_group_holdout,key_lap_label,male,500m,male_500m_key_lap,key_lap,55,5838,False,False,,,,,
3109,0.8941781923448054,0.8797090224383801,0.8755539004579294,0.8945462674959018,0.8718624012345492,0.8797090224383801,,time_external_season_ge_2023,key_lap_label,male,500m,male_500m_key_lap,key_lap,55,5838,False,False,,,,,
1460,0.9061643835616439,0.8944122456454299,0.8898046294431244,0.9068223028396964,0.8863877620450851,0.8944122456454299,,random_stratified_holdout,key_lap_label,male,500m,male_500m_key_lap,key_lap,55,5838,False,False,,,,,
5838,,,,,,,,unsupervised_full_fit,style_cluster,male,500m,male_500m_style_cluster,style_cluster,18,5838,False,False,0.388514647634264,"{0: 1266, 1: 2051, 2: 2413, 3: 108}",,,
5838,,,,,,,,unsupervised_full_fit,risk_score,male,500m,male_500m_risk_detection,risk_detection,15,5838,False,False,,,0.12007536827680712,-0.062038272487238574,0.07749622187137689
