n,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,roc_auc,split,target,gender,distance,model_id,task,features_n,training_rows,sample_size_too_small,skipped,silhouette,cluster_counts,anomaly_rate,risk_score_mean,risk_score_std
885,0.8406779661016949,0.8384066959160243,0.839430682463028,0.8402781957046862,0.841823104880044,0.8384066959160243,0.9210984910611777,athlete_group_holdout,advancement_label,female,1500m,female_1500m_advancement,advancement,92,3168,False,False,,,,,
1555,0.8655948553054662,0.8656368899917286,0.865580624120832,0.8655761768756338,0.8658402354327632,0.8656368899917286,0.9366865177832919,time_external_season_ge_2023,advancement_label,female,1500m,female_1500m_advancement,advancement,92,3168,False,False,,,,,
792,0.8724747474747475,0.8726219726219726,0.8724289876706233,0.8724961020500054,0.8723724489795919,0.8726219726219726,0.9463160917706372,random_stratified_holdout,advancement_label,female,1500m,female_1500m_advancement,advancement,92,3168,False,False,,,,,
1032,0.7044573643410853,0.7097018413191822,0.7084284736175059,0.7062733630116937,0.71079419385871,0.7097018413191822,,athlete_group_holdout,grade_label,female,1500m,female_1500m_grade,grade,61,3785,False,False,,,,,
1797,0.6510851419031719,0.6477360362916472,0.653004379385307,0.657822111766283,0.6620276327756885,0.6477360362916472,,time_external_season_ge_2023,grade_label,female,1500m,female_1500m_grade,grade,61,3785,False,False,,,,,
947,0.7138331573389651,0.7138042623185297,0.7192438192278073,0.719305085679161,0.7291241210143157,0.7138042623185297,,random_stratified_holdout,grade_label,female,1500m,female_1500m_grade,grade,61,3785,False,False,,,,,
1032,0.5872093023255814,0.36100118639308126,0.3769166870042724,0.5725533470387776,0.4665786874190236,0.36100118639308126,,athlete_group_holdout,max_round_score,female,1500m,female_1500m_max_round,max_round,92,3785,False,False,,,,,
1797,0.5681691708402894,0.5178328935070647,0.27395002635189636,0.5806095885345972,0.3220159494117804,0.25891644675353237,,time_external_season_ge_2023,max_round_score,female,1500m,female_1500m_max_round,max_round,92,3785,False,False,,,,,
947,0.617740232312566,0.3826662484624921,0.40234450670081845,0.606152810919181,0.4992896956849198,0.3826662484624921,,random_stratified_holdout,max_round_score,female,1500m,female_1500m_max_round,max_round,92,3785,False,False,,,,,
1032,0.7635658914728682,0.7523575949367088,0.75165590345856,0.7638820858449296,0.7510111899778089,0.7523575949367088,0.8409216772151898,athlete_group_holdout,final_entry_label,female,1500m,female_1500m_final_entry,final_entry,92,3785,False,False,,,,,
1797,0.7529215358931552,0.7666802402524687,0.7525131208357632,0.7541523757921452,0.761339319117097,0.7666802402524687,0.8461926091825308,time_external_season_ge_2023,final_entry_label,female,1500m,female_1500m_final_entry,final_entry,92,3785,False,False,,,,,
947,0.7539598732840549,0.7514707740060997,0.751296487283097,0.7540414055085741,0.7511376641164969,0.7514707740060997,0.8306534567700719,random_stratified_holdout,final_entry_label,female,1500m,female_1500m_final_entry,final_entry,92,3785,False,False,,,,,
1032,0.9912790697674418,0.9909019976018296,0.977828064100405,0.9914130660366044,0.966853398213785,0.9909019976018296,,athlete_group_holdout,tactical_style_label,female,1500m,female_1500m_tactical_style,tactical_style,61,3785,False,False,,,,,
1797,0.9827490261547023,0.9721333523289729,0.9639940555109507,0.9828620650104367,0.9569783563537841,0.9721333523289729,,time_external_season_ge_2023,tactical_style_label,female,1500m,female_1500m_tactical_style,tactical_style,61,3785,False,False,,,,,
947,0.9904963041182682,0.9811519000413054,0.9782532708926761,0.9904953898618102,0.9760755331672103,0.9811519000413054,,random_stratified_holdout,tactical_style_label,female,1500m,female_1500m_tactical_style,tactical_style,61,3785,False,False,,,,,
1032,0.6405038759689923,0.6568630099017783,0.6275361501258254,0.6411579835622844,0.6146785318580941,0.6568630099017783,,athlete_group_holdout,key_lap_label,female,1500m,female_1500m_key_lap,key_lap,92,3785,False,False,,,,,
1797,0.5982192543127435,0.6099429214197386,0.6047009908808431,0.5982774435812866,0.6170393633317268,0.6099429214197386,,time_external_season_ge_2023,key_lap_label,female,1500m,female_1500m_key_lap,key_lap,92,3785,False,False,,,,,
947,0.6378035902851109,0.652731826658026,0.6270934282194718,0.6370175046775003,0.616533152207622,0.652731826658026,,random_stratified_holdout,key_lap_label,female,1500m,female_1500m_key_lap,key_lap,92,3785,False,False,,,,,
3785,,,,,,,,unsupervised_full_fit,style_cluster,female,1500m,female_1500m_style_cluster,style_cluster,18,3785,False,False,0.17424418198310024,"{0: 1349, 1: 1192, 2: 1139, 3: 105}",,,
3785,,,,,,,,unsupervised_full_fit,risk_score,female,1500m,female_1500m_risk_detection,risk_detection,15,3785,False,False,,,0.1202113606340819,-0.05468264150736138,0.05757691501022064
